艇	艇󠄁
艘	艘󠄁
艹	艹︁
芍	芍󠄁
芒	芒󠄁
芦	芦󠄁
花	花󠄁
芽	芽󠄀
苒	苒󠄁
苣	苣󠄁
茣	茣󠄀
茨	茨󠄁
荒	荒󠄁
荵	荵󠄁
莽	莽󠄁
菔	菔󠄀
菜	菜󠄁
菲	菲󠄀
萌	萌󠄁
萠	萠󠄀
萢	萢󠄁
著	著︀
著	著󠄁
葜	葜󠄁
葺	葺󠄀
蓪	蓪󠄀
蓬	蓬󠄁
蓮	蓮󠄀
蓴	蓴󠄁
蔗	蔗󠄀
蔽	蔽󠄁
蕑	蕑󠄀
蕕	蕕󠄀
蕝	蕝󠄁
蕣	蕣󠄀
薄	薄󠄁
薇	薇󠄁
薩	薩󠄁
薯	薯󠄁
藏	藏󠄀
藕	藕󠄁
藤	藤󠄁
藷	藷󠄁
蘒	蘒󠄀
蘭	蘭󠄁
虎	虎󠄀
虐	虐󠄁
虔	虔󠄀
虜	虜︀
虜	虜󠄀
虞	虞󠄁
虢	虢󠄀
蚊	蚊󠄁
蛛	蛛󠄀
蛸	蛸󠄁
蜃	蜃󠄁
蜚	蜚󠄀
蜷	蜷󠄀
蜻	蜻󠄀
蝕	蝕󠄁
蝙	蝙󠄁
螂	螂󠄁
螣	螣󠄀
螽	螽󠄁
蟒	蟒󠄂
蠃	蠃󠄁
蠅	蠅󠄂
蠎	蠎󠄁
衂	衂󠄁
衆	衆󠄀
衋	衋󠄁
術	術󠄁
衛	衛󠄁
衞	衞󠄀
衣	衣󠄀
衰	衰󠄀
衷	衷󠄁
袞	袞󠄀
裘	裘󠄀
裴	裴󠄀
褊	褊󠄁
褐	褐︀
褐	褐󠄁
褜	褜󠄀
褫	褫󠄀
褻	褻󠄀
襁	襁󠄀
襖	襖󠄁
襪	襪󠄀
襯	襯󠄁
要	要󠄀
覆	覆󠄁
覇	覇󠄁
視	視︀
視	視󠄁
親	親󠄀
覯	覯󠄁
覽	覽󠄀
角	角󠄁
訊	訊󠄂
訒	訒󠄀
訝	訝󠄂
訟	訟󠄁
註	註󠄀
評	評󠄁
詮	詮󠄁
認	認󠄁
誕	誕󠄁
誠	誠󠄁
誤	誤󠄁
誹	誹󠄀
調	調󠄁
請	請󠄁
諛	諛󠄁
諞	諞󠄁
諭	諭󠄀
諮	諮󠄁
諸	諸︀
諸	諸󠄀
諺	諺󠄁
謁	謁︀
謁	謁󠄀
謄	謄󠄁
謎	謎󠄁
謙	謙󠄁
講	講󠄁
謝	謝󠄀
謬	謬󠄁
謹	謹︀
謹	謹󠄀
謾	謾󠄁
譁	譁󠄁
譖	譖󠄂
譚	譚󠄀
譜	譜󠄀
譿	譿󠄁
豪	豪󠄀
豹	豹󠄁
貛	貛󠄁
負	負󠄀
貧	貧󠄁
貨	貨󠄁
貫	貫󠄀
資	資󠄁
賊	賊󠄁
賓	賓︀
賓	賓󠄀
賭	賭󠄁
購	購󠄂
贅	贅󠄁
贈	贈︀
贈	贈󠄁
贏	贏󠄀
赧	赧󠄀
走	走󠄀
赳	赳󠄀
起	起󠄁
趙	趙󠄀
跚	跚󠄀
距	距󠄁
跳	跳󠄀
踉	踉󠄁
踴	踴󠄁
蹊	蹊󠄀
躍	躍󠄁
躑	躑󠄀
躡	躡󠄁
軌	軌󠄀
軔	軔󠄁
較	較󠄁
輓	輓󠄀
輩	輩󠄀
輯	輯󠄀
輸	輸󠄁
轄	轄󠄂
辶	辶󠄀
辻	辻󠄁
込	込󠄁
辿	辿󠄁
迂	迂󠄁
迄	迄󠄁
迅	迅󠄁
迆	迆󠄀
迎	迎󠄁
近	近󠄁
返	返󠄁
迦	迦󠄁
迩	迩󠄁
迪	迪󠄁
迫	迫󠄁
迭	迭󠄁
迯	迯󠄀
述	述󠄁
迶	迶󠄀
迷	迷󠄁
迺	迺󠄀
追	追󠄁
退	退󠄁
送	送󠄁
逃	逃󠄂
逆	逆󠄁
逎	逎󠄀
透	透󠄁
逐	逐󠄁
途	途󠄁
逗	逗󠄁
這	這󠄁
通	通󠄁
逝	逝󠄁
逞	逞󠄁
速	速󠄁
造	造󠄁
逢	逢󠄁
連	連󠄀
逮	逮󠄁
週	週󠄁
進	進󠄁
逵	逵󠄀
逸	逸︁
逸	逸󠄁
逹	逹󠄀
逼	逼󠄁
遁	遁󠄂
遂	遂󠄂
遇	遇󠄁
遊	遊󠄁
運	運󠄁
遍	遍󠄁
過	過󠄁
遐	遐󠄀
遒	遒󠄀
道	道󠄁
達	達󠄁
違	違󠄂
遘	遘󠄁
遜	遜󠄁
遠	遠󠄁
遡	遡󠄁
遣	遣󠄁
適	適󠄁
遭	遭󠄁
遮	遮󠄁
遵	遵󠄁
遷	遷󠄂
選	選󠄁
遺	遺󠄁
遼	遼󠄁
避	避󠄁
邁	邁󠄀
邃	邃󠄁
還	還󠄁
邇	邇󠄀
邉	邉󠄀
邊	邊󠄀
那	那󠄁
邦	邦󠄂
邨	邨󠄁
邪	邪󠄂
郷	郷󠄁
都	都︀
都	都󠄀
鄭	鄭󠄁
鄰	鄰󠄀
酋	酋󠄁
酌	酌󠄁
配	配󠄀
酖	酖󠄀
酘	酘󠄀
酥	酥󠄀
酲	酲󠄀
酳	酳󠄀
酷	酷󠄁
醢	醢󠄀
醪	醪󠄀
醯	醯󠄀
醱	醱󠄁
醴	醴󠄀
醺	醺󠄀
采	采󠄁
釜	釜󠄀
釣	釣󠄁
釼	釼󠄀
鈷	鈷󠄀
鉛	鉛󠄁
鋩	鋩󠄁
錆	錆󠄁
錵	錵󠄁
鍥	鍥󠄁
鍵	鍵󠄀
鎋	鎋󠄁
鎌	鎌󠄁
鎖	鎖󠄁
鎚	鎚󠄁
鎡	鎡󠄁
鎮	鎮󠄁
鏝	鏝󠄁
鐺	鐺󠄀
鑓	鑓󠄁
鑷	鑷󠄁
閒	閒󠄁
閫	閫󠄀
閼	閼󠄀
闍	闍󠄀
阪	阪󠄀
降	降󠄁
隆	隆︀
隆	隆󠄁
隊	隊󠄁
隔	隔󠄀
隘	隘󠄀
隙	隙󠄁
隣	隣󠄂
隧	隧󠄀
隲	隲󠄀
隻	隻󠄁
雅	雅󠄂
雇	雇󠄁
雙	雙󠄁
雚	雚󠄁
難	難︀
難	難󠄀
雨	雨󠄀
雪	雪󠄁
雰	雰󠄁
霡	霡󠄀
霤	霤󠄀
霽	霽󠄀
靕	靕󠄀
靖	靖︀
靖	靖󠄁
静	静󠄁
靜	靜󠄀
靠	靠󠄀
靭	靭󠄂
靱	靱󠄀
靴	靴󠄁
鞄	鞄󠄁
鞘	鞘󠄁
鞭	鞭󠄀
韓	韓󠄁
韞	韞󠄀
音	音󠄁
響	響󠄃
頌	頌󠄁
頑	頑󠄁
頒	頒󠄁
頓	頓󠄀
頤	頤󠄀
頻	頻︀
頻	頻󠄀
類	類︀
類	類󠄀
顧	顧󠄁
顳	顳󠄁
飃	飃󠄀
食	食󠄁
飢	飢󠄁
飫	飫󠄀
飯	飯︀
飯	飯󠄀
飴	飴󠄁
飼	飼︀
飼	飼󠄁
飽	飽󠄁
飾	飾󠄁
餃	餃󠄀
餅	餅󠄁
餉	餉󠄀
養	養󠄁
餌	餌󠄃
餐	餐󠄁
餓	餓󠄁
餡	餡󠄀
館	館︀
館	館󠄁
饅	饅󠄂
饋	饋󠄀
饗	饗󠄂
駁	駁󠄀
駐	駐󠄀
騙	騙󠄁
騰	騰󠄁
驊	驊󠄀
驟	驟󠄁
驥	驥󠄀
髯	髯󠄁
鬘	鬘󠄁
鬭	鬭󠄀
鬮	鬮󠄁
鬵	鬵󠄁
魍	魍󠄀
魔	魔󠄁
鮗	鮗󠄁
鮨	鮨󠄀
鮫	鮫󠄀
鮮	鮮󠄀
