衮	袞
𬡄	袞
𧞬	襳
𫟜	觀
𣫅	觳
𧦖	訰
訮	詽
𧦷	詾
説	說
𧪌	誱
𧫴	謹
𧭖	議
𫟝	讓
䜟	讖
𧰼	象
豜	豣
𭾛	貞
𢎐	貳
賘	賍
𦢼	贏
赱	走
𧺆	走
𧻬	趍
𨂹	踴
𨃒	踴
輺	輜
軿	輧
輼	轀
𫝕	辰
迖	达
逥	迴
迸	逬
𨓻	逯
𨓜	逸
逹	達
邢	郉
郎	郞
𮟿	郿
郷	鄕
鄉	鄕
𨞤	鄶
𨢄	醜
醖	醞
釼	釰
鈃	銒
鋭	銳
𨦵	鋩
録	錄
𨭀	鎘
鎮	鎭
𨮺	鑙
𨯒	鑯
𨳇	門
閲	閱
䦨	闌
𨺓	隆
陧	隉
𨻶	隙
寉	隺
𨿽	雖
𮥿	雚
青	靑
静	靜
靣	面
靱	靭
𮧰	韋
𩑠	頙
𮚱	頳
𥛤	頴
頽	頹
顔	顏
顛	顚
𩔖	類
𩚆	飤
飲	飮
餅	餠
馱	駄
駢	騈
𩥕	騹
𩥾	驗
骩	骫
髪	髮
鬬	鬭
𩵋	魚
𩹌	鰥
鰛	鰮
𡰎	鳩
𩾛	鳩
𩾵	鳩
𠒎	鳬
鳯	鳳
𪃰	鶰
鷏	鷆
𪃟	鷇
麫	麪
𬹃	麵
麽	麼
黄	黃
𮮐	黍
𮮑	黍
𪏭	黎
黒	黑
皷	鼓
𭽸	鼕
𮮫	鼞
𣦗	齒
𮮽	齒
榉	﨔
𧺯	﨣
𤔁	𠀭
𤕤	𠁊
𭑘	𠁊
𤕣	𠃾
𢆣	𠆕
𫝇	𠇭
𠈖	𠈪
𠈫	𠈪
𠊯	𠋢
𠋕	𠌖
𠏴	𠐑
𠓵	𠓷
𠕂	𠕅
𭁡	𠕅
𡴊	𠕓
𣍓	𠕰
𤎹	𠘕
𦥒	𠚒
𢩬	𠛃
𠜰	𠜧
𡘢	𠜵
𭃤	𠝄
𠜕	𠝞
𠝠	𠝬
𠢅	𠢍
𠥇	𠥵
𠦕	𠦘
𠧳	𠧹
𫝂	𠩄
𫠦	𠩄
𠩶	𠩲
𠪬	𠪚
𠰒	𠰚
𭉈	𠺜
𭊋	𠺜
𡀼	𡀘
𠿎	𡁑
𡂤	𡂧
𭋲	𡄑
𡌸	𡌹
𣡆	𡕏
𢻯	𡕕
𢾶	𡕲
𡙛	𡙠
𡦲	𡦭
𡦳	𡦭
𡦴	𡦭
𡪋	𡪚
𡮼	𡮻
𠠵	𡯄
𡯪	𡯭
𡰞	𡰝
𠔅	𡰤
𠔆	𡰤
𡥸	𡲪
𡵄	𡴀
𡴙	𡴐
𡸱	𡴜
𡴡	𡴩
𡴻	𡴲
𡻵	𡻫
𡼬	𡼒
𤎚	𡼷
𤿄	𢀎
𢆩	𢆢
𢉇	𢈩
𦱤	𢍋
𢎱	𢎨
𢎮	𢎶
𢑙	𢑛
𦄳	𢑲
𢀚	𢒄
𢒅	𢒄
𢔺	𢔷
𢡤	𢡍
𢦒	𢦔
𢪨	𢪚
𫽅	𢬱
𪭻	𢭀
𪭱	𢭯
𢮸	𢰷
𢱞	𢱞
𢱭	𢳎
𢷐	𢷟
𢾪	𢻚
𢼯	𢼴
𣁋	𢼸
𢾛	𢾊
𭣙	𢾊
𢻕	𢾑
𢾚	𢾑
𢿽	𢿦
𭣝	𢿦
𢿵	𢿧
𭣜	𢿧
𢻥	𢿾
𣀉	𢿾
𣀸	𣀺
𧥙	𣁀
𣊆	𣊅
𣊭	𣊫
𦙿	𣍦
𦙳	𣍨
𦜷	𣎄
𫠡	𣎴
𣐂	𣏋
𣑾	𣑅
𭪉	𣒀
𣕹	𣓉
𣒆	𣓘
𣒏	𣓙
𤴜	𣓜
𣕏	𣓧
𠓲	𣔕
𫞎	𣘺
𫞏	𣘺
𣝿	𣞱
𣝡	𣞼
𣦋	𣥫
𣥩	𣥿
𣨃	𣧴
𣫃	𣫌
𣚯	𣫎
𣮯	𣮸
𣮗	𣮻
𣳊	𣳃
𣳫	𣵭
𣶬	𣷉
𣷹	𣸸
𣾞	𣽁
𭒞	𣽦
𣽍	𣾄
𤂴	𤃪
𤅃	𤅄
𤊮	𤉺
𤐥	𤑋
𤓿	𤔂
𠚞	𤔼
𡖀	𤔿
𤖊	𤖄
𭆌	𤟐
𤟌	𤟒
𤣔	𤣗
𤣭	𤣲
𤤄	𤣻
𤧩	𤦼
𡨍	𤬽
𤮬	𤮫
𪐕	𤯒
𢍚	𤱿
𤵵	𤵨
𬏝	𤵶
𤿪	𥀈
𬐱	𥂭
𥄚	𥄙
𥆆	𥆨
𥇗	𥇵
𥇤	𥇵
𥈃	𥈟
𥈺	𥉰
𥑪	𥒚
𥔉	𥔑
𥑷	𥔢
𥒏	𥔢
𬒛	𥕧
𥛈	𥙸
𮂁	𥚣
𥡱	𥡤
𥦐	𥦪
𥪺	𥫃
𥫕	𥫖
𥬘	𥬟
𥰓	𥯣
𥰅	𥲂
𥲤	𥳁
𥳸	𥳹
𥵄	𥶅
𥷴	𥷤
𦀉	𥿰
𦁇	𦁤
𦂲	𦁥
𦅳	𦃍
𬼉	𦈢
𦎜	𦎇
𢐽	𦏚
𦏴	𦏻
𦘚	𦘕
𦙽	𦙱
𦊈	𦚋
𬚹	𦚩
𣍭	𦚹
𦚸	𦚹
𦛧	𦜡
𦜤	𦝦
𦡦	𦡂
𦢋	𦣍
𦣞	𦣝
𥃢	𦣸
𦤺	𦤶
𢲓	𦥹
𠮌	𦦖
𦨳	𦨼
𦪲	𦪓
𦪺	𦪲
𦭠	𦭫
𦲝	𦰓
𦴃	𦵫
𦸥	𦼏
𦺺	𦽓
𦾽	𦿚
𧃱	𧂘
𦾫	𧂣
𧆬	𧆟
𧆭	𧆣
𧇄	𧇄
𧇕	𧇄
𧊱	𧊶
𧊠	𧍳
𧎅	𧏚
𧟡	𧟠
𧟵	𧟱
𧧂	𧦽
𧧇	𧧨
𧨤	𧨚
𧩱	𧫮
𦌽	𧮀
𧯖	𧯕
𧶀	𧶊
𧹩	𧹯
𧿪	𧿝
𨇈	𨆫
𨍽	𨎊
𨏓	𨏪
𨑃	𨑄
𢀽	𨑔
𨖀	𨔢
𨖼	𨖙
𨗭	𨖽
𨗌	𨗤
𨛻	𨛲
𨜭	𨜓
𨡦	𨢂
𨢫	𨣊
𨥀	𨥄
𨰦	𨰰
𨵻	𨶒
𨷭	𨷠
𨹃	𨹄
𩃢	𩃔
𩅧	𩅉
𩆹	𩇂
𩉩	𩉨
𩉲	𩉨
𢻨	𩐅
𩑄	𩑃
𩑑	𩑗
𩑿	𩒕
𩒋	𩒕
𩖜	𩖛
𩞟	𩝫
𩟣	𩟤
𩢯	𩣇
𩣈	𩣐
𩣦	𩣮
𩦔	𩦴
𩫗	𩫖
𮫄	𩬻
𩯶	𩰁
𩱽	𩲄
𩵉	𩵊
𩹦	𩸑
𩿗	𩿎
𪀙	𪃪
𪇞	𪇀
𪈈	𪈐
𫜎	𪊨
𪏃	𪏂
𡒢	𪔋
𡒡	𪔌
𥖫	𪔑
𥀻	𪔯
𥀼	𪔴
𬹵	𪘉
𤒅	𪚱
𨉠	𪧻
𢺻	𪯈
𢻳	𪯈
𦾀	𫉌
𮙅	𫍔
𰼯	𫒡
𭪢	𬃄
𣟃	𬄺
𨗵	𬇓
𬍭	𬍵
𤫞	𬎞
𤱏	𬏂
𫈯	𬝆
𬻔	𬻐
𭁇	𭁈
𰈥	𭊕
𡾠	𭗲
𮐛	𮏨
𩼻	𮓖
𮔃	𮓻
𧪤	𮘭
𩟚	𮩑
𦤓	𮮴
𰜛	𰜚
𥚳	𰨋
𬻋	𱽌
𦰥	𱽨
