⺤	⺥
㕼	哅
𫩴	哚
𫪾	唴
𠸝	啑
𫪓	喕
唤	喚
𠺇	喜
唧	喞
喻	喩
𠦤	單
𠫹	單
𠹫	嗇
𮧌	嗇
𫪻	嗤
𭒕	嘙
嘷	噑
嘘	噓
𠾖	器
嚔	嚏
𡃰	嚱
𫝝	嚴
𡅛	嚵
𡅕	囍
冏	囧
𡆾	囧
𭍛	囧
囱	囪
圏	圈
圎	圓
圗	圖
圡	土
𡈽	土
𡸁	垂
𡊹	垔
垜	垛
𡍑	埊
埓	埒
𡌨	埤
𫮍	埼
菫	堇
𦰌	堇
𡍷	堩
𫝔	堯
𭏕	塌
填	塡
𡎖	塤
塈	墍
増	增
𡐿	墶
𫮰	墻
𡉟	壯
夀	壽
夛	多
𡖈	多
𢑑	多
𦴋	夢
𢎯	夷
𡘹	奄
𥘾	奈
𫯠	奉
奂	奐
𢍆	契
𢍠	契
𭑕	契
𭚘	契
𭁗	奠
奥	奧
𡚱	妃
𡛇	妓
𪥩	妓
㚷	妳
姗	姍
妍	姸
娯	娛
娱	娛
𡝘	娽
𡝤	婁
媫	婕
媮	婾
𡟮	媐
𡞎	媔
𫱇	媜
𡝭	媢
𡠌	媲
媪	媼
𰌚	嫯
𡢴	嫽
媯	嬀
嬷	嬤
𡣳	孅
𡤼	孑
孳	孶
𭁴	宣
宫	宮
𡧱	害
𡨘	寃
𡨚	寃
𭔃	寄
𡨡	寏
寜	寧
寛	寬
𡬶	尋
㝷	尋
𫴰	對
尓	尔
尒	尔
尚	尙
𤊽	尞
𡯎	尨
𢒂	尨
尫	尪
𡯓	尬
𠆷	尬
𠒖	尭
𡰁	尰
𡰅	尳
𩨔	尳
尶	尷
𫝲	尻
屏	屛
𭕙	屛
𭁄	屰
𡵨	岐
𡵲	岐
𡷊	岛
𫝍	岡
﨑	崎
峥	崢
雟	巂	n
𡾟	巇
巔	巓
坙	巠
𢁉	巽
㠶	帆
帡	帲
𢂸	帶
𢃄	帶
㡌	帽
并	幷
𭎎	幸
㡬	幾
𪜊	广
𢇮	庋
𢇭	应
𢈏	庚
庻	庶
𢈔	庾
𢊁	廌
廄	廏
𢋁	廏
𢋨	廛
廪	廩
廽	廻
弑	弒
𢎞	弘
𢏏	弥
𢑐	当
录	彔
彚	彙
𢑥	彙
彛	彜
彞	彝
彦	彥
徴	徵
徳	德
𢘚	忱
𫝹	念
恒	恆
𢘆	恆
悦	悅
悮	悞
匆	悤	n
惪	悳
𢚾	愌
𭐫	愛
𢝾	愮
慎	愼
𫺼	慆
愠	慍
𢠊	慘
𢣗	懡
𫻡	懷
懴	懺
𢦙	或
戬	戩
戯	戲
戱	戲
户	戶
戸	戶
𭠅	戾
𢩾	执
𠄘	承
𢪩	投
抛	拋
㧞	拔
抜	拔
𢬌	拔
举	挙
捝	挩
𪭺	捋
揑	捏
𢬽	捭
𢮆	捭
㨗	捷
𪮓	捹
𢰤	掎
挣	掙
𭠵	掝
挿	插
揷	插
换	換
搄	揯
㩁	搉
捜	搜
揾	搵
揺	摇
𢲄	摕
𢳛	摣
𢷇	摤
𢶗	摮
𰔬	撩
撃	擊
𢷬	擣
舉	擧
𦦙	擧
㩥	攕
𤽐	敀
𤽑	敀
教	敎
敚	敓
𢾍	敖
𢾕	敖
𢻎	散
𭣹	散
𭣿	敧
𢻗	敮
㪣	敲
𫾣	敲
𢿙	數
夐	敻
𢿌	敻
敿	敽
𢻤	敽
𢻧	斀
𣀈	斀
螤	斔
𣂷	斳
𣂼	斳
㫌	旋
𭥃	旖
既	旣
𣅀	旨
峕	旹
𣅐	旻
昻	昂
𣆃	昜
𣆄	昜
晋	晉
𫞄	晉
𣇈	晓
晩	晚
曍	暭
暨	曁
𣉊	曉
𣋡	曚
曵	曳
㬅	曼
𭦟	曼
曽	曾
𬚽	朙
朶	朵
𣏓	杇
𠄬	枣
𡗭	枣
柺	枴
栅	柵
查	査
柡	栐
𱣎	桀
𫞉	桺
鿄	梁
𭛹	條
𭐧	梦
棁	梲
𬃪	椅
榆	楡
𬃜	楨
榅	榲
𣙜	榷
槙	槇
㮣	槩
概	槪
𪳝	槱
橰	槹
𣙁	樝
榝	樧
𣝢	樸
𣜀	樾
𣜝	橍
𰘴	橑
横	橫
㰇	櫼
𣟬	欄
櫸	欅
𣟱	欅
𣣱	欹
㰱	歃
歩	步
歳	歲
𫞓	歲
𠧔	歺
殁	歿
殱	殲
殻	殼
毁	毀
毎	每
𣮟	毵
𫞕	氏
𫞖	民
氲	氳
𣱵	永
𣲅	江
𣲄	汣
没	沒
𣳅	沵
浂	泆	n
𭰝	洍
𣵗	洖
𣴑	流
𣵀	涅
渉	涉
㳙	涓
涚	涗
涙	淚
𣴤	淢
渌	淥
𭓻	淧
浄	淨
清	淸
𰜟	渏
𣴪	渒
涣	渙
渇	渴
𣷍	湄
𭰫	湎
温	溫
潃	滫	n
𣿗	滶
滚	滾
𭑞	漁
𣻔	漂
溉	漑
𣻌	漾
潨	潀
溈	潙
濳	潛
澙	潟
𣿳	潦
𣽽	潸
濓	濂
𣿰	濬
𤀹	濬
濲	瀔
瀬	瀨
瀐	瀸
𢌇	灋
𤂦	灌
𫞞	灌
𪸓	炁
奌	点
熙	煕
𤋮	煕
焭	煢
𠙦	煢
焕	煥
煴	熅
𤋱	熏
𤏺	熬
𤐗	燎
𤒄	燫
𤐭	燽
𤑕	爋
𤑛	爋
争	爭
為	爲
𡙁	爽
𫝃	爾
床	牀	n
𫵠	犀
𰠸	犄
𤝝	狝
𭸟	猗
𫞤	猿
奬	獎
𤢝	獒
獋	獔
𤢙	獠
𤡯	獡
𫉬	獲
𤢪	獵
𤣥	玄
𤣱	玘
𤤙	玴
㻆	琄
𤥨	琢
𤦺	琦
𤦛	瑁
𤥺	瑍
𤨁	瑨
𤨼	璋
𤪃	璙
𤩹	璧
𭺊	瓈
𭺛	瓦
𭺜	瓦
瓶	甁
𠥄	甚
𫞪	甚
産	產
𤰱	画
𢌿	畀
𤱑	畞
𤲃	畢
𭺾	畢
畨	番
畵	畫
𤲯	畫
𤲿	畫
𰣍	畸
𤴁	疉
𤴡	疐
𤷒	痺
痪	瘓
𤸄	瘝
痩	瘦
臯	皐
皡	皥
𥁋	盇
𫞰	盈
𥁊	盋
𥁘	盏
𥁫	盏
𭕘	眉
𥄳	眔
真	眞
衆	眾
𥈤	睫
䜭	睿
𥋄	瞟
𥌒	瞽
𭿵	矛
𥑉	砈
𥒐	砉
𮀒	砉
研	硏
𥓓	碑
𥔎	碕
礻	示
鿆	祓
秘	祕	n
袮	祢	n
𥙄	祢
𥙊	祭
𥚬	祹
禄	祿
𥜽	禼
𥜾	禼
秃	禿
䄵	秊
𥝝	秊
税	稅
𥟑	稗
𫞹	空
𥤮	突
𥨤	竂
𥪖	竜
笻	筇	n
𥬑	筑
筝	箏
𥭼	箓
𥮷	箬
𥲒	築
𥰉	篌
簒	篡
𢲿	篫
𥳤	篴
𥱡	篾
𥲃	簆
箳	簈
簔	簑
𥵐	簝
𬖄	簾
𥶉	籑
籖	籤
𥹣	粣
𥹤	粣
𥺁	粧
𥹭	粱
𥹏	粲
粤	粵
𫒀	粵
𥺛	粺
糹	糸
𬗋	紫
絶	絕
緑	綠
𦂶	綺
緒	緖
縁	緣
𬗟	緬
繌	緵	n
𬗨	緽
緼	縕
𬗫	縣
𦂵	縦
𦆖	繚
𦅩	繪
纎	纖
𦉳	网
芈	羋
羙	美
𫟈	美
𮎪	美
𦍛	羕
𮊵	羸
羮	羹
𦐓	翇
翺	翶
𫰗	耍
䎡	耎
𦕅	聊
𦕓	聓
𬥁	聚
𦗷	聱
𠕎	肉
𮌇	肉
䏍	肙
𦙪	肩
𦙌	胤
𦙍	胤
䏻	能
𦝕	能
𮌛	能
𦛹	胾
脱	脫
𦜉	脾
胼	腁
𦟩	腌
𦚤	腴
腽	膃
𦟾	膒
卧	臥	n
𦤀	臭
𠒍	臾
𢆍	臿
𦥝	舀
舃	舄
𠢎	舅
𫟋	與
𦾔	舊
舎	舍
舗	舖
䑵	艒
𫇧	芩
𠰥	若
苃	茇
䒮	茕
兹	茲
𦮠	荗
𦯬	荼
𭄳	莇
𦯶	莔
𦮆	菆
葘	菑
𫟏	菟
𦵉	萐
茰	萸
𦳯	蒁
蒀	蒕
𫎇	蒙
𦻴	蓵
蓘	蔉
𦷾	蔕
𬞈	蔗
𦽠	蔜
蒍	蔿
薞	蕵	n
蕰	薀
𧃡	薻
𦿾	藜
𧄇	蘅
藴	蘊
𧁨	蘓
𡖂	虁
𧅄	虁
𮓗	虍
𮓙	虎
𧆠	虖
虚	虛
𮓥	虞
𧈅	虩
𮓰	虫
𧉕	蚕
𧈡	蚤
𫊫	蚤
𧊨	蚦
蜖	蛔
𧊑	蛖
𧉨	蛩
蜕	蛻
𧎉	蜣
𧍑	蝄
𧑛	蟰
𧒲	蠊
𫟘	衞
𢖍	衡
𮕩	衰
𡊮	袁
𡋡	袁
䘠	袚
衮	袞
𬡄	袞
裡	裏	n
𧞬	襳
𫟜	觀
觧	解
𣫅	觳
𧥠	訄
𧦖	訰
訮	詽
𧦷	詾
説	說
𧪌	誱
𧩽	諄
䛕	諛
𧪿	講
𧫴	謹
𧭖	議
𫟝	讓
䜟	讖
𧰼	象
豜	豣
𭾛	貞
𢎐	貳
賘	賍
賔	賓
頼	賴
𧸟	贅
𦢼	贏
𧺆	走
赱	走
𰷳	趄
𧻬	趍
𧻞	趓
𰷿	趫
𠯁	足
跺	跥
𨂹	踴
𨃒	踴
躱	躲
輺	輜
𰹝	輢
軿	輧
輼	轀
𨏋	轈
𫝕	辰
𭆒	農
迖	达
𨑙	迅
逥	迴
迸	逬
𨓻	逯
𨓜	逸
逹	達
逺	遠
𨗯	遨
𨙻	那
邢	郉
郎	郞
𮟿	郿
郷	鄕
鄉	鄕
𨞤	鄶
𮠔	鄽
𨢄	醜
醖	醞
蒏	醟	n
釼	釰
鉩	鉨
鋭	銳
𨦵	鋩
録	錄
𨪆	錡
鋄	錽	n
錬	鍊
𨭀	鎘
鎮	鎭
𨭼	鐐
䥥	鐮
𨯒	鑯
𨳇	門
閠	閏
閲	閱
䦨	闌
𨺓	隆
陧	隉
𨻶	隙
寉	隺
𨿽	雖
𮥿	雚
𩃓	電
覇	霸	n
青	靑
静	靜
靣	面
𩉠	靫
靱	靭
𮧯	韋
𮧰	韋
韯	韱
𩑠	頙
𬱃	頟
𮚱	頳
𥛤	頴
頽	頹
顔	顏
顛	顚
𩔖	類
𩚆	飤
𩚽	飪
飲	飮
䬸	餐
餅	餠
馱	駄
𩢺	駽
駢	騈
𮪍	騎
𩥕	騹
𩦈	驃
𩥾	驗
骩	骫
骪	骫
𩨖	骫
𩩙	髀
髪	髮
鬬	鬭
𩵋	魚
𩾀	鮕
𩹌	鰥
鰛	鰮
𩼡	鰲
𩾖	鳧
𡰎	鳩
𩾛	鳩
𩾵	鳩
䲫	鳩
𠒎	鳬
鳯	鳳
𩾨	鳵
𩿱	鳿
䳌	鵑
𪃰	鶰
鷏	鷆
𪃟	鷇
𣫠	鷇
𢉖	鹿
麫	麪
𬹃	麵
麽	麼
黄	黃
𮮐	黍
𮮑	黍
𪏭	黎
黒	黑
黙	默
㸃	點
𪓾	鼇
皷	鼓
𭽸	鼕
𮮫	鼞
𣦗	齒
𮮽	齒
𱌡	齮
䆋	龝
榉	﨔
𧺯	﨣
𤔁	𠀭
𠒞	𠀻
𤕤	𠁊
𭑘	𠁊
𤱮	𠃁
𤕣	𠃾
𡯾	𠄁
𢆣	𠆕
𫝇	𠇭
𠈖	𠈪
𠈫	𠈪
𠊯	𠋢
𠋕	𠌖
偋	𠌸
𠏴	𠐑
㒨	𠑗
𡴪	𠒶
𨮠	𠓓
𠌆	𠓳
𠓵	𠓷
龹	𠔉	c
𠕂	𠕅
𭁡	𠕅
𡴊	𠕓
𣍓	𠕰
𤎹	𠘕
凞	𠘕	c
𦥒	𠚒
𡯇	𠚯
𢩬	𠛃
𠛹	𠜂
𠜰	𠜧
𡘢	𠜵
𭃤	𠝄
𠜕	𠝞
𠝠	𠝬
剏	𠝵
剙	𠝵
𠟿	𠞰
𠢅	𠢍
𠥇	𠥵
𠦕	𠦘
龺	𠦝	c
𠧳	𠧹
𫝂	𠩄
𫠦	𠩄
𠩶	𠩲
𠪬	𠪚
叝	𠫳
叱	𠮟	nc
𠰒	𠰚
𫫀	𠵇
𭉈	𠺜
𭊋	𠺜
𡀊	𠾽
𡀼	𡀘
𠿎	𡁑
𡂤	𡂧
𡂭	𡂪
𭋲	𡄑
𡅗	𡄼
𡅤	𡅸
𡊒	𡊑
𡌹	𡌸
壄	𡐨
𡔢	𡔣
𣡆	𡕏
𢻯	𡕕
𠅣	𡕧
𢾶	𡕲
夬	𡗒	a
𡙋	𡙐
𡙛	𡙠
𭑡	𡚆
𡚰	𡚮
㛟	𡞵
𮱍	𡟧
𡦲	𡦭
𡦳	𡦭
𡦴	𡦭
𡩚	𡩀
𡪋	𡪚
𡭽	𡭴
𡮂	𡭴
𡮼	𡮻
𠠵	𡯄
𧈤	𡯥
尮	𡯦
𡯪	𡯭
𡯤	𡯮
𡰓	𡰍
𡰗	𡰜
𡰞	𡰝
𠔅	𡰤
𠔆	𡰤
𡥸	𡲪
𡵄	𡴀
𡴙	𡴐
𡸱	𡴜
𡴡	𡴩
𡴻	𡴲
𡶲	𡷔
𡻵	𡻫
𡼬	𡼒
𡻇	𡼗
𤎚	𡼷
𡿚	𡿟
𤿄	𢀎
𢄛	𢅂
𢅖	𢅏
𢆚	𢆞
𢆩	𢆢
庅	𢇝
𢇬	𢇷
𢉇	𢈩
𦱤	𢍋
𢎱	𢎨
𢎮	𢎶
𢑙	𢑛
𦄳	𢑲
𢀚	𢒄
𢒅	𢒄
𢔺	𢔷
𢘰	𢗧
𢚕	𢘽
𢛋	𢞈
𢡤	𢡍
慤	𢡱	c
𢦒	𢦔
𢪨	𢪚
𫽅	𢬱
𪭻	𢭀
𪭱	𢭯
𢮨	𢮛
𢮅	𢮧
𢮸	𢰷
𢱭	𢳎
𢷐	𢷟
㩬	𢹍
𢾪	𢻚
𢼯	𢼴
𢾛	𢾊
𭣙	𢾊
𢻕	𢾑
𢾚	𢾑
𢿽	𢿦
𭣝	𢿦
𢿵	𢿧
𭣜	𢿧
𢻥	𢿾
𣀉	𢿾
𣀸	𣀺
𢼸	𣁋
皆	𣅜	a
𣊆	𣊅
𣊭	𣊫
𣆑	𣌧
𦙿	𣍦
𦙳	𣍨
𦜷	𣎄
𫠡	𣎴
𣐂	𣏋
𣑾	𣑅
桗	𣑫
𭪉	𣒀
𣕕	𣒋
𣕹	𣓉
𣒆	𣓘
𣒏	𣓙
𤴜	𣓜
𣕏	𣓧
𠓲	𣔕
𣓍	𣔺
𫞎	𣘺
𫞏	𣘺
橩	𣜧
𣝿	𣞱
𣝡	𣞼
𣢣	𣢼
𣦋	𣥫
𣥎	𣥭
𣥩	𣥿
𣦻	𣦼
𣨃	𣧴
𬆔	𣧷
㱿	𣪊
㲃	𣪘	c
𣫃	𣫌
𣚯	𣫎
毤	𣮆
𣮯	𣮸
𣮗	𣮻
𣰝	𣰢
𣳊	𣳃
𣳫	𣵭
𣶬	𣷉
𣷹	𣸸
𰜸	𣺈
溄	𣺿
淹	𣼜
𣾞	𣽁
𭒞	𣽦
𣽍	𣾄
澚	𤀀
濍	𤁬	n
𤂴	𤃪
𤅃	𤅄
𤊮	𤉺
焨	𤊻
焨	𤊻	n
㷗	𤌇
𤏊	𤐂
𤑋	𤐥
𤓿	𤔂
𠚞	𤔼
𡖀	𤔿
𤖊	𤖄
𣪬	𤚲
𤛒	𤛴
𭆌	𤟐
𤟌	𤟒
𪻅	𤠔
𤠛	𤠤
𤣔	𤣗
𤣭	𤣲
𤤄	𤣻
𤥟	𤤺
𤧩	𤦼
㻀	𤧙
𡨍	𤬽
𬎨	𤬾
𤮬	𤮫
𪐕	𤯒
𭻐	𤱧
𢍚	𤱿
𤵵	𤵨
𬏝	𤵶
𤿪	𥀈
昷	𥁕	c
塩	𥂁
𬐱	𥂭
䀑	𥄗
𥄚	𥄙
𥆆	𥆨
𥇗	𥇵
𥇤	𥇵
𥈃	𥈟
𥑪	𥒚
𥔉	𥔑
𥑷	𥔢
𥒏	𥔢
磁	𥔵	c
磙	𥕦	c
𬒛	𥕧
𮁳	𥙨
𥛈	𥙸
𮂁	𥚣
𥜨	𥜪
𮃄	𥞛
稽	𥠻
𥡴	𥠻
𥠸	𥡃
𥡱	𥡤
𥢰	𥢤
𥤛	𥤚
𥤳	𥤯
𥦣	𥥗
𥦐	𥦪
𥦙	𥦱
窴	𥧑
𥪺	𥫃
𥫕	𥫖
䇣	𥬞
𥬘	𥬟
𥬸	𥬲
𥰓	𥯣
𥬽	𥯮
𥰅	𥲂
𥲤	𥳁
𥳸	𥳹
𥱃	𥳿
𥵄	𥶅
𥷴	𥷤
𨤐	𥹄
𥿰	𦀉
綗	𦀝
𦁇	𦁤
𦂲	𦁥
𦂢	𦂖
𦅳	𦃍
𬘀	𦄇
𦅛	𦅀
𦅗	𦆀
𬼉	𦈢
𦊰	𦋀
𦎜	𦎇
𦎽	𦏊
𢐽	𦏚
𦏴	𦏻
𦐎	𦐃
羿	𦐧	n
𦒞	𦒛
𦒫	𦒯
聴	𦗟
𦘚	𦘕
𦙽	𦙱
𦊈	𦚋
𬚹	𦚩
𣍭	𦚹
𦚸	𦚹
𦞆	𦛠
𦛧	𦜡
𦜤	𦝦
𦡦	𦡂
𦢋	𦣍
𦢹	𦣍
𦣞	𦣝
𥃢	𦣸
致	𦤶
𦤺	𦤶
𢲓	𦥹
𠮌	𦦖
𦦞	𦦡
𦦝	𦦧
𦨳	𦨼
𦪰	𦪈
𦪲	𦪓
𦪺	𦪓
苶	𦬼
𦭠	𦭫
𦮌	𦮻
𦵐	𦯖
萖	𦯵
𦰓	𦲝
萒	𦳆
𦴃	𦵫
𦶫	𦹁
𦳅	𦺮
𦸥	𦼏
𦺺	𦽓
𦾽	𦿚
𧃱	𧂘
𦾫	𧂣
𧀼	𧃎
虀	𧆌	n
𧆬	𧆟
𧆭	𧆣
𧇕	𧇄
虱	𧈲	a
𧊱	𧊶
𧊠	𧍳
𧐑	𧎾
𧎅	𧏚
𧑻	𧐥
𧔹	𧓋
𧗢	𧗝
𧝰	𧞄
𭟍	𧞰
𧟡	𧟠
𧟤	𧟥
𧟵	𧟱
𧟶	𧟳
𧣱	𧣼
𣁀	𧥙
𧧂	𧦽
𧧇	𧧨
䛼	𧨤
𧨚	𧨤
𧩱	𧫮
𧭙	𧭊
𦌽	𧮀
𠔌	𧮫
𧯊	𧯈
𧯖	𧯕
𧱓	𧱦
𧱎	𧱧
𧴲	𧴪
𧶀	𧶊
𧸜	𧸖
𧹩	𧹯
𧺑	𧺔
𰷻	𧽍
𧿪	𧿝
𨅟	𨄏
𨇈	𨆫
𨍽	𨎊
𨏓	𨏪
𨑃	𨑄
𢀽	𨑔
𨖀	𨔢
𨔡	𨔵
𨖼	𨖙
𨗭	𨖽
𨗌	𨗤
邍	𨙅	n
邔	𨙬
𨚛	𨚤
𨛻	𨛲
𨜭	𨜓
𫑮	𨞬
䤇	𨡻
𨡦	𨢂
𨢫	𨣊
𨥀	𨥄
銢	𨥭	c
𨫗	𨫷
鑙	𨮺
𨰦	𨰰
𨵎	𨵤
𨷭	𨷠
𨹃	𨹄
𱀘	𨻪
𱁊	𨿫
𨾳	𩀑
𩃢	𩃔
𩆇	𩄱
𩅧	𩅉
𩅗	𩅬
𩆹	𩇂
𩉩	𩉨
𩉲	𩉨
𢻨	𩐅
𩐯	𩐲
𩑄	𩑃
𩑑	𩑗
𩑞	𩑫
𩑿	𩒕
𩒋	𩒕
𩖜	𩖛
飠	𩙿	c
𩞟	𩝫
𩟣	𩟤
𩢯	𩣇
𩣈	𩣐
𩣦	𩣮
𩦔	𩦴
𩪨	𩪋
𩫗	𩫖
𮫄	𩬻
𩯶	𩰁
𩱽	𩲄
𱆟	𩳣
𩵉	𩵊
𩾉	𩷟
𩹦	𩸑
𩸺	𩸙
𩾍	𩼇
𩼖	𩼔
𩾃	𩾅
𩾕	𩾔
𩿗	𩿎
𪀙	𪃪
𪇞	𪇀
𱈼	𪇄
𪈈	𪈐
𫜎	𪊨
𪏃	𪏂
𡒢	𪔋
𡒡	𪔌
𥖫	𪔑
𥀻	𪔯
𥀼	𪔴
𬹵	𪘉
𤒅	𪚱
𮰥	𪣷
𨉠	𪧻
𢺻	𪯈
𢻳	𪯈
𣐐	𪱾
𦾀	𫉌
𮙅	𫍔
𰼯	𫒡
乑	𫡑
姮	𫰟
㛨	𫱎
𭪢	𬃄
𣟃	𬄺
𨗵	𬇓
𬍭	𬍵
𤫞	𬎞
𤱏	𬏂
𫈯	𬝆
𧙤	𬡖
𬻔	𬻐
𭁇	𭁈
𰈥	𭊕
𡾠	𭗲
𮐛	𮏨
𩼻	𮓖
𮔃	𮓻
𧪤	𮘭
𩟚	𮩑
𩶳	𮫿
𦤓	𮮴
𰜛	𰜚
𥚳	𰨋
𩢶	𱄤
𪑝	𱋷
𬻋	𱽌
𦰥	𱽨
滑	滑	k
龜	龜	k
金	金	k
懶	懶	k
癩	癩	k
羅	羅	k
蘿	蘿	k
螺	螺	k
裸	裸	k
邏	邏	k
樂	樂	k
烙	烙	k
亂	亂	k
爛	爛	k
鸞	鸞	k
濫	濫	k
襤	襤	k
拉	拉	k
臘	臘	k
蠟	蠟	k
廊	廊	jk
朗	朗	jk'
浪	浪	k
狼	狼	k
冷	冷	k
勞	勞	k
爐	爐	k
老	老	k
虜	虜	jk
露	露	k
碌	碌	k
祿	祿	k
綠	綠	k
菉	菉	k
錄	錄	k
鹿	鹿	k
論	論	k
壟	壟	k
籠	籠	k
聾	聾	k
牢	牢	k
雷	雷	k
屢	屢	k
樓	樓	k
淚	淚	k
漏	漏	k
累	累	k
縷	縷	k
陋	陋	k
肋	肋	k
凜	凜	k
凌	凌	k
稜	稜	k
綾	綾	k
菱	菱	k
陵	陵	k
讀	讀	k'
拏	拏	k
諾	諾	k
怒	怒	k
率	率	k'
北	北	k
復	復	k
泌	泌	k
數	數	k
索	索	k
參	參	k
塞	塞	k
說	說	k
拾	拾	k
掠	掠	k
亮	亮	k
兩	兩	k
凉	凉	k
梁	梁	k
糧	糧	k
良	良	k
諒	諒	k
女	女	k
廬	廬	k
旅	旅	k
濾	濾	k
驪	驪	k
麗	麗	k
轢	轢	k
憐	憐	k'
戀	戀	k
撚	撚	k
漣	漣	k
煉	煉	k
璉	璉	k
練	練	k
聯	聯	k
輦	輦	k
蓮	蓮	k
連	連	k
鍊	鍊	k
裂	裂	k
廉	廉	k
念	念	k
捻	捻	k
殮	殮	k
簾	簾	k
獵	獵	k
令	令	k
囹	囹	k
寧	寧	k
嶺	嶺	k
怜	怜	k
玲	玲	k
瑩	瑩	k
羚	羚	k
聆	聆	k
鈴	鈴	k
零	零	k
靈	靈	k
領	領	k
禮	禮	k
寮	寮	k
料	料	k
樂	樂	k
燎	燎	k
療	療	k
蓼	蓼	k
遼	遼	k
龍	龍	k'
柳	柳	k
流	流	k
溜	溜	k
琉	琉	k
硫	硫	k
紐	紐	k
類	類	jk
六	六	k
戮	戮	k
倫	倫	k
崘	崙	k
淪	淪	k
輪	輪	k
慄	慄	k
栗	栗	k
履	履	k
李	李	k
梨	梨	k
泥	泥	k
痢	痢	k
罹	罹	k
裏	裏	k
裡	裡	k
溺	溺	k
吝	吝	k
燐	燐	k'
璘	璘	k
藺	藺	k
隣	隣	k'
鱗	鱗	k'
麟	麟	k'
淋	淋	k
立	立	k
笠	笠	k
粒	粒	k
狀	狀	k
炙	炙	k
識	識	k
切	切	k
度	度	k
糖	糖	k
宅	宅	k
洞	洞	k
廓	廓	k
塚	塚	j
晴	晴	j
猪	猪	j
益	益	ja<
礼	礼	j
神	神	j
祥	祥	j
福	福	j
靖	靖	j
精	精	j
羽	羽	j
諸	諸	j
都	都	j
飯	飯	j
飼	飼	j
館	館	j
侮	侮	j
僧	僧	j
免	免	jv
勉	勉	j
勤	勤	j
卑	卑	j
喝	喝	j
嘆	嘆	j
器	器	j
塀	塀	j
墨	墨	j
層	層	j
屮	屮	j
悔	悔	j
慨	慨	j
憎	憎	j
懲	懲	j
敏	敏	j
旣	既	j
暑	暑	j
梅	梅	j
海	海	j
渚	渚	j
漢	漢	j
煮	煮	j
琢	琢	j
社	社	j
祉	祉	j
祈	祈	j
祐	祐	j
祖	祖	j
祝	祝	j
